指标名称,全国建筑钢材成交量:主流贸易商:合计(日)
2020/7/3,260081
2020/7/6,242354
2020/7/7,255134
2020/7/8,260507
2020/7/9,221537
2020/7/10,208595
2020/7/13,254351
2020/7/14,197027
2020/7/15,185830
2020/7/16,173484
2020/7/17,208034
2020/7/20,196479.985
2020/7/21,250944
2020/7/22,224155
2020/7/23,209140.523
2020/7/24,183352
2020/7/27,193030
2020/7/28,207504
2020/7/29,240201
2020/7/30,217832
2020/7/31,209447
2020/8/3,305432
2020/8/4,204161
2020/8/5,215243
2020/8/6,220354
2020/8/7,202524
2020/8/10,227600
2020/8/11,216729
2020/8/12,192078
2020/8/13,201378
2020/8/14,232198
2020/8/17,261801
2020/8/18,221992
2020/8/19,175150
2020/8/20,183182
2020/8/21,223043
2020/8/24,242130
2020/8/25,199142
2020/8/26,196661
2020/8/27,188609
2020/8/28,243850
2020/8/31,267903
2020/9/1,210634
2020/9/2,210828
2020/9/3,233131.006
2020/9/4,212924.687
2020/9/7,245474
2020/9/8,217823
2020/9/9,196256
2020/9/10,193856
2020/9/11,266295
2020/9/14,257236
2020/9/15,186694
2020/9/16,187194
2020/9/17,212218
2020/9/18,236952
2020/9/21,213102
2020/9/22,228569
2020/9/23,217998
2020/9/24,248484
2020/9/25,241896
2020/9/27,264137
2020/9/28,274309
2020/9/29,247345
2020/9/30,179735
2020/10/9,347683
