日期,螺纹钢:美国:市场价,螺纹钢:欧盟:市场价,螺纹钢:日本:市场价,螺纹钢:独联体:市场价,螺纹钢:土耳其:市场价
2014/7/11,750.00 ,625.00 ,657.00 ,535.00 ,555.00 
2014/7/17,750.00 ,623.00 ,660.00 ,530.00 ,560.00 
2014/7/23,739.00 ,623.00 ,661.00 ,530.00 ,560.00 
2014/8/1,739.00 ,618.00 ,658.00 ,530.00 ,565.00 
2014/8/6,717.00 ,618.00 ,658.00 ,530.00 ,565.00 
2014/8/15,717.00 ,630.00 ,656.00 ,530.00 ,565.00 
2014/8/19,717.00 ,630.00 ,656.00 ,530.00 ,570.00 
2014/8/27,717.00 ,627.00 ,643.00 ,535.00 ,575.00 
2014/9/5,728.00 ,622.00 ,641.00 ,540.00 ,565.00 
2014/9/12,728.00 ,621.00 ,630.00 ,540.00 ,565.00 
2014/9/17,728.00 ,621.00 ,624.00 ,540.00 ,565.00 
2014/9/26,728.00 ,606.00 ,615.00 ,540.00 ,565.00 
2014/10/9,733.00 ,606.00 ,621.00 ,535.00 ,560.00 
2014/10/15,733.00 ,600.00 ,624.00 ,535.00 ,560.00 
2014/10/24,733.00 ,600.00 ,630.00 ,535.00 ,560.00 
2014/10/30,733.00 ,577.00 ,621.00 ,530.00 ,540.00 
2014/11/3,733.00 ,577.00 ,568.00 ,515.00 ,530.00 
2014/11/10,733.00 ,562.00 ,560.00 ,515.00 ,520.00 
2014/11/21,733.00 ,548.00 ,548.00 ,510.00 ,500.00 
2014/11/27,733.00 ,550.00 ,534.00 ,490.00 ,500.00 
2014/12/4,728.00 ,550.00 ,530.00 ,490.00 ,490.00 
2014/12/12,728.00 ,541.00 ,519.00 ,445.00 ,480.00 
2014/12/18,722.00 ,537.00 ,537.00 ,430.00 ,490.00 
2014/12/26,722.00 ,537.00 ,529.00 ,430.00 ,510.00 
2015/1/7,722.00 ,520.00 ,523.00 ,430.00 ,510.00 
2015/1/15,722.00 ,514.00 ,532.00 ,430.00 ,505.00 
2015/1/22,700.00 ,498.00 ,533.00 ,430.00 ,495.00 
2015/1/29,695.00 ,486.00 ,533.00 ,430.00 ,490.00 
2015/2/5,689.00 ,486.00 ,535.00 ,420.00 ,490.00 
2015/2/13,684.00 ,486.00 ,535.00 ,410.00 ,480.00 
2015/2/26,662.00 ,482.00 ,530.00 ,390.00 ,435.00 
2015/3/2,650.00 ,476.00 ,500.00 ,390.00 ,435.00 
2015/3/12,650.00 ,445.00 ,495.00 ,390.00 ,445.00 
2015/3/20,650.00 ,445.00 ,494.00 ,385.00 ,445.00 
2015/3/24,650.00 ,467.00 ,502.00 ,380.00 ,440.00 
2015/3/31,650.00 ,456.00 ,500.00 ,385.00 ,445.00 
2015/4/7,650.00 ,475.00 ,501.00 ,385.00 ,445.00 
2015/4/14,650.00 ,454.00 ,501.00 ,385.00 ,440.00 
2015/4/20,645.00 ,467.00 ,504.00 ,390.00 ,440.00 
2015/4/27,634.00 ,471.00 ,503.00 ,390.00 ,455.00 
2015/5/7,634.00 ,505.00 ,500.00 ,390.00 ,450.00 
2015/5/14,617.00 ,509.00 ,500.00 ,395.00 ,455.00 
